id,V,A,D,stdV,stdA,stdD,N,text,document,category,subcategory
Seedbombing_1217_1244,3.0,2.6,3.0,0.0,0.8,0.0,5,note : cover your work area .,Seedbombing,blog, 
defenders5_986_1142,2.8,3.2,3.0,0.4,0.4,0.0,5,unfortunately this practice will begin after the first snow . . . this september . . . when wolves will be cant miss targets against alaskas snowy terrain .,defenders5,letters,solicitation-brochures
114CUL060_2316_2326,3.0,3.0,3.0,0.0,0.0,0.0,3,sincerely,114CUL060,letters,philanthropic-fundraising
WhatToHongKong_12321_12477,3.0,3.0,3.0,0.0,0.0,0.0,5,the saying time is money is quite literally true in hong kong : more is spent on watches and clocks here than on cameras and optical goods .,WhatToHongKong,travel-guides, 
cable_spool_fort_4114_4139,3.0,2.6,3.0,0.0,0.8,0.0,5,how are you feeling roy ?,cable_spool_fort,fiction, 
WhatToHongKong_23026_23139,3.2,3.2,3.0,0.4,0.4,0.0,5,the rugby sevens sees teams come together from all over the world for 15 matches in march or early april .,WhatToHongKong,travel-guides, 
Nathans_Bylichka_9268_9290,3.2,2.8,3.0,0.75,0.98,0.0,5,he met my eyes coolly .,Nathans_Bylichka,fiction, 
20020731-nyt_26141_26314,3.0,2.2,3.2,0.0,0.98,0.4,5,"the rumor in the crowd had been that "" anything under $6 million would be a bargain "" said ute wartenberg executive director of the american numismatic society in manhattan .",20020731-nyt,newspaper,nyt
sucker_1739_1918,2.67,2.67,3.0,0.47,0.47,0.0,3,the end result of such roundtables one can only fear could be that the only books depicting people of color that get published are those that do not challenge white assumptions .,sucker,blog, 
WhereToHongKong_8362_8485,3.0,2.8,3.0,0.0,0.4,0.0,5,youll find herb and medicine shops incense shops chop makers shops ( makers of chinese seals ) and more .,WhereToHongKong,travel-guides, 
hotel-california_32505_32527,3.0,3.0,3.0,0.0,0.0,0.0,5,maybe that was enough .,hotel-california,fiction, 
NYTnewswire8_1312_1519,2.67,3.33,3.67,0.47,0.47,0.47,3,"i am concerned that nonmedically trained people as legitimate prescribers of drugs will not be accepted by the american public "" says psychologist gerald c . davison of the university of southern california .",NYTnewswire8,newspaper,nyt
Nathans_Bylichka_28698_28706,3.0,3.0,3.4,0.0,0.0,0.49,5,a pint ?,Nathans_Bylichka,fiction, 
IFAW1_1782_1842,2.5,3.0,3.17,0.76,1.0,0.69,6,too too often man has not been a good neighbor to animals .,IFAW1,letters,solicitation-brochures
defenders5_5469_5566,3.0,3.0,3.0,0.0,0.0,0.0,5,$45000 salaries /office expenses for staff to oversee the effort between now and election day .,defenders5,letters,solicitation-brochures
602CZL285_2118_2138,3.0,3.6,3.2,0.0,0.49,0.4,5,mark your calendars !,602CZL285,letters,philanthropic-fundraising
hotel-california_25715_25807,3.0,2.8,3.0,0.0,0.4,0.0,5,he picked up his glass swirled the liquid around took a sip then set the glass back down .,hotel-california,fiction, 
SemEval_730,3.0,3.0,3.0,0.0,0.0,0.0,5,pluto ' s revenge : ' word of the year ' award,SemEval,SemEval,
HistoryLasVegas_12075_12217,3.2,3.2,3.4,0.4,0.4,0.8,5,from the mid 1940s to the mid 1960s las vegas nurtured a growing sense that it was the entertainment capital of the world .,HistoryLasVegas,travel-guides, 
captured_moments_20271_20308,2.75,3.0,3.25,0.43,0.0,0.43,4,that ' s not why i called him ' emil ' .,captured_moments,fiction, 
marine1_2953_3089,3.0,3.5,3.5,0.0,0.5,0.5,2,these are prime examples of hard fought victories and critical efforts that are working to improve the health of our marine environment .,marine1,letters,solicitation-brochures
SemEval_1081,4.0,3.67,3.33,0.0,0.47,0.47,3,canadian breakthrough offers hope on autism,SemEval,SemEval,
NYTnewswire9_5696_5711,2.2,3.6,3.6,0.75,0.49,0.49,5,"i said `no . "" '",NYTnewswire9,newspaper,nyt
110CYL070_840_1012,2.67,2.83,3.0,0.47,0.37,0.0,6,there are a lot of barriers that keep people from working : physical and mental disabilities history of welfare dependency and lack of education or self esteem .,110CYL070,letters,philanthropic-fundraising
Nathans_Bylichka_24448_24476,3.0,3.0,3.0,0.0,0.63,0.63,5,i tried to keep myself calm .,Nathans_Bylichka,fiction, 
captured_moments_28208_28243,3.0,2.75,3.25,0.0,0.43,0.43,4,that ' s why i cannot take payment .,captured_moments,fiction, 
hotel-california_33612_33646,3.0,3.2,3.8,0.0,0.4,0.4,5,i ' ve got a replacement lined up .,hotel-california,fiction, 
captured_moments_26714_26722,2.4,3.2,2.8,0.8,0.4,0.4,5,heavy,captured_moments,fiction, 
lessig_blog-carbon_2679_2982,3.2,3.4,3.4,0.4,0.49,0.49,5,re : your green culture talk i think you are misappropriating the gore clip : isn ' t he saying that your money would be better spent on political candidates and organizations that push for mandatory internalizing of externalities ( changing the laws ) instead of on carbon offsets ( changing the lightbulbs ) ?,lessig_blog-carbon,blog, 
IntroDublin_4462_4636,3.33,3.33,3.33,0.47,0.47,0.47,3,traditional irish music is also alive and well especially in the pubs and there has been a revival of storytelling poetry reading and traditional dancing .,IntroDublin,travel-guides, 
anth_essay_4_132_239,3.2,3.0,2.8,0.4,0.63,0.4,5,indigenous revitalization movements of latin america : the rediscovery of language and identity,anth_essay_4,essays, 
NYTnewswire9_6425_6521,3.0,3.2,3.2,0.0,0.4,0.4,5,the 509th took north field and stayed in relative isolation from other b 29 units on the island .,NYTnewswire9,newspaper,nyt
WhereToHongKong_11986_12068,2.8,2.2,3.2,0.4,0.4,0.75,5,although it is not a tourist attraction the rock is steeped in tradition .,WhereToHongKong,travel-guides, 
easy_money_2368_2516,2.8,3.2,3.4,0.4,0.4,0.49,5,i ' m a researcher i ' ve come into some valuable material that i would like to find a buyer for and i don ' t want to have to explain myself to anyone .,easy_money,fiction, 
Ohio_Steel_629_802,2.4,3.2,2.6,0.8,0.4,1.02,5,on that date jennings lambeth president of youngstown sheet and tube company announced that most of the steel companys campbell works would close .,Ohio_Steel,essays, 
HistoryLasVegas_9239_9259,3.2,3.2,3.0,0.4,0.4,0.0,5,more government help,HistoryLasVegas,travel-guides, 
Ohio_Steel_11320_11413,2.6,2.6,3.2,0.8,0.8,0.4,5,the problem was a national one involving many more mills and issues than youngstowns alone .,Ohio_Steel,essays, 
SemEval_554,2.5,3.17,2.83,0.5,0.37,0.37,6,a police state ? the issues,SemEval,SemEval,
WhereToHongKong_39388_39489,3.0,2.8,3.2,0.0,0.4,0.4,5,in 1576 pope gregory xiii created the macau diocese covering all of china and japan .,WhereToHongKong,travel-guides, 
Seedbombing_1743_1752,3.0,3.0,3.0,0.0,0.0,0.0,5,4 . throw .,Seedbombing,blog, 
audubon2_2985_3150,3.8,3.8,3.6,0.75,0.4,0.49,5,by accepting my special invitation to join again youll receive special invitations to our sanctuaries and ecology camps and free admission to our nature centers .,audubon2,letters,solicitation-brochures
Seedbombing_5213_5245,3.0,2.2,3.0,0.0,0.98,0.0,5,summer 26 . nov 2009 at 10 : 52 am,Seedbombing,blog, 
captured_moments_17128_17236,3.0,3.0,3.4,0.0,0.0,0.49,5,"one night during n ' apulco ' s mild winter tasha returned to the flamingo saying "" nardo !",captured_moments,fiction, 
Tupelo-Honey-Cafe_1733_1839,3.4,3.0,3.0,0.49,0.0,0.0,5,i ' ve visited plenty of farm to fork restaurants and this one may be the best i ' ve seen at self marketing .,Tupelo-Honey-Cafe,blog, 
